[CH3]C(=O)[NH][CH2][CH2][NH]C(=O)[CH3]  CC(=O)NCCNC(C)=O  ABAWEG01
[CH3][CH2]Oc1[cH][cH]c([cH][cH]1)[CH]1C(=C([CH3])[NH]C(=C1C(=O)O[CH3])[CH3])C(=O)O[CH3]  CCOc1ccc(cc1)C1C(=C(C)NC(=C1C(=O)OC)C)C(=O)OC  HUDHEU
N#Cc1[cH]nc2[cH][cH][cH][cH]c2n1  N#Cc1cnc2ccccc2n1  HUDZAI
[NH2][NH]C(=O)[CH2]Oc1[cH][cH][cH][cH][cH]1  NNC(=O)COc1ccccc1  HUFDOC
[CH3]OC(=O)[CH2]OC(=O)c1[cH][cH]c2c(c(oc2[cH]1)C(=O)O[CH3])[OH]  COC(=O)COC(=O)c1ccc2C(=C(Oc2c1)C(=O)OC)O  HULKII
[CH3][CH]1[CH2][CH2]C23OC(=O)C4([OH])O[CH]([CH2]C124)C1([OH])C(=O)O[CH2]C31[CH3]  CC1CCC23OC(=O)C4(O)OC(CC124)C1(O)C(=O)OCC31C  HUNNOU01
[CH3]C1([CH3])[CH2]OC(=O)[CH]=C1C(=O)[OH]  CC1(C)COC(=O)C=C1C(O)=O  HUXJOZ
[CH3]C1=[CH]C([CH3])(C(=C1[CH3])[CH3])C1([CH3])[CH]=C([CH3])C(=C1[CH3])[CH3]  CC1=CC(C)(C(=C1C)C)C1(C)C=C(C)C(=C1C)C  IBINAI01
O=C1O[CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2][CH2]C#Cc2[cH][cH][cH]c1[cH]2  O=C1OCCCCCCCCCCC#Cc2cccc1c2  IDOPUM
[CH3]C1([CH2][CH]([CH2]1)C(=O)c1[cH]c2c(o1)[cH][cH]c1[cH][cH][cH][cH]c21)c1[cH][cH][cH][cH][cH]1  CC1(CC(C1)C(=O)C1=Cc2c(O1)ccc1ccccc21)c1ccccc1  IDUNIF
[CH3][CH2][CH]1[CH]2[CH2][CH2][CH2][CH2]N3[CH2][CH2][CH]([CH]4[CH]([CH3])C(=O)O[CH]14)[CH]23  CCC1C2CCCCN3CCC(C4C(C)C(=O)OC14)C23  IFEBOL
[CH3][CH]([CH]([OH])c1[cH][cH][cH][cH][cH]1)N([CH3])[CH2]c1[cH][cH][cH]n[cH]1  CC(C(O)c1ccccc1)N(C)Cc1cccnc1  IFOQIE
O=C1[CH]2[CH2][CH2]N([CH2][CH2]2)C1=[CH]c1[cH]n([CH2]c2[cH][cH]c([cH][cH]2)C#N)c2[cH][cH][cH][cH]c12  O=C1C2CCN(CC2)C1=CC1=CN(Cc2ccc(cc2)C#N)c2ccccc12  IFUNON
[CH3]ON(OC(=O)[CH3])C(=O)[NH2]  CON(OC(C)=O)C(N)=O  IHANOV
[OH]c1c(oc2[cH][cH][cH][cH]c2c1=O)c1[cH][cH][cH]o1  OC1=C(Oc2ccccc2C1=O)C1=CC=CO1  IJUCEW
[OH]c1[cH][cH][cH][cH]c1C1([CH]2[CH2][CH]3[CH2][CH]([CH2]2)[CH2][CH]1[CH2]3)n1[cH][cH]n[cH]1  Oc1ccccc1C1(C2CC3CC(C2)CC1C3)N1C=CN=C1  IJUYUI
[CH3][CH]([CH3])[CH2]n1[cH]nc2c([NH][NH2])nc3[cH][cH][cH][cH]c3c12  CC(C)CN1C=Nc2c(NN)nc3ccccc3c12  IKABIG
[CH3]OC(=O)C([CH3])([CH](C#N)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  COC(=O)C(C)(C(C#N)c1ccccc1)c1ccccc1  IKADAZ
[OH][CH]1OC23[CH]4[CH]5[CH2][CH2][CH]([CH]4OC42[CH2][CH]2[CH2][CH2][CH]4[CH]=[CH]2)[CH]3[CH]15  OC1OC23C4C5CCC(C4OC42CC2CCC4C=C2)C3C15  IKUZOE
[CH3][CH2][CH2][CH2][NH]C1=[CH]C(=C2C(=O)C(=[CH]C(=C2C1=O)[OH])[NH][CH2][CH2][CH2][CH3])[OH]  CCCCNC1=CC(=C2C(=O)C(=CC(=C2C1=O)O)NCCCC)O  ILISEB
[CH3]c1[cH]c([N+]#[C-])c([CH3])[cH]c1[N+]#[C-]  Cc1cc([N+]#[C-])c(C)cc1[N+]#[C-]  IMIJUJ
[OH]C(=O)[CH2]c1[cH][nH]c2[cH][cH][cH][cH]c12  OC(=O)CC1=CNc2ccccc12  INACET04
[CH3]c1c(c([OH])[cH]c2C(=O)c3[cH][cH][cH]c([OH])c3C(=O)c12)C(=O)OC([CH3])([CH3])[CH3]  Cc1c(c(O)cc2C(=O)c3cccc(O)c3C(=O)c12)C(=O)OC(C)(C)C  IPOKAA
[CH3][CH]([CH3])c1[cH][cH]c([OH])[cH][cH]1  CC(C)c1ccc(O)cc1  IPRPOL01
[NH3+][CH2][CH]([OH])C(=O)[O-]  [NH3+]CC(O)C(=O)[O-]  IPUMUC
[CH2]([CH2][CH2]n1n[cH]nn1)[CH2]n1n[cH]nn1  C(CCN1N=CN=N1)CN1N=CN=N1  IQEJAP
[CH3][CH2]OC(=O)c1[cH][cH]nc([cH]1)c1[cH]c([cH][cH]n1)C(=O)O[CH2][CH3]  CCOC(=O)c1ccnc(c1)c1cc(ccn1)C(=O)OCC  IQOWUG
[CH3]Oc1[cH][cH]c(C(=O)[OH])c(O[CH3])[cH]1  COc1ccc(C(O)=O)c(OC)c1  ISUQUI
[CH3][CH]([CH3])c1[cH]c([CH]([CH3])[CH3])c(C(=O)[OH])c([cH]1)[CH]([CH3])[CH3]  CC(C)c1cc(C(C)C)c(C(O)=O)c(c1)C(C)C  ITEGEU
N#Cc1[cH][cH][cH]c(c2[cH][cH][cH][cH][cH]2)c1C#N  N#Cc1cccc(c2ccccc2)c1C#N  IVASEE
[CH3]C1([CH3])[CH2]C([CH3])([CH3])C2=C1C(=O)C1=C(C2=O)C([CH3])([CH3])[CH2]C1([CH3])[CH3]  CC1(C)CC(C)(C)C2=C1C(=O)C1=C(C2=O)C(C)(C)CC1(C)C  IVIQIO
[CH3]c1[cH][cH]c([CH2][NH]c2n[cH]nc3[nH][cH]nc23)[cH][cH]1  Cc1ccc(CNc2ncnc3NC=Nc23)cc1  IVOGOQ
[CH3][NH][CH]1[CH2]C2=C([CH3])C(=O)OC32[CH2]C2([CH3])[CH]([CH2][CH2]C12[CH3])[NH]3  CNC1CC2=C(C)C(=O)OC32CC2(C)C(CCC12C)N3  IWOMEN
[NH2]C1=N[CH]2O[CH]([CH2][OH])[CH]([OH])[CH]2O1  NC1=NC2OC(CO)C(O)C2O1  IWUGEM
[NH2]C1=N[CH]2O[CH]([CH2][OH])[CH]([OH])[CH]2O1  NC1=NC2OC(CO)C(O)C2O1  IWUGIQ01
[CH3]c1[cH][cH]c([cH]c1[CH3])N=C1c2[cH][cH][cH][cH]c2c2[cH][cH][cH][cH]c12  Cc1ccc(cc1C)N=C1c2ccccc2c2ccccc12  IXATUW
[CH3][CH](N1C(=O)c2[cH][cH][cH][cH]c2C1=O)C(=O)[OH]  CC(N1C(=O)c2ccccc2C1=O)C(O)=O  IZAMAX
[CH3]c1[cH]n([CH]2[CH2]C3([OH])[CH2]O[CH2]O[CH2]C3([CH2][OH])O2)c(=O)[nH]c1=O  CC1=CN(C2CC3(O)COCOCC3(CO)O2)C(=O)NC1=O  IZUXAC
[CH3][CH]1[CH2][CH2]C2([OH])[CH]([CH2]1)[CH2]C(=O)OC2([CH3])[CH3]  CC1CCC2(O)C(C1)CC(=O)OC2(C)C  JASJET
[OH][CH2][CH]([OH])[CH]1O[CH]2OC3([CH2][CH2][CH2][CH2][CH2]3)O[CH]2[CH]1[OH]  OCC(O)C1OC2OC3(CCCCC3)OC2C1O  JAVZIQ
[CH3]Oc1[cH][cH]c([cH][cH]1)c1[cH]c(n[cH]n1)c1[cH]c(n[cH]n1)c1[cH][cH]c(O[CH3])[cH][cH]1  COc1ccc(cc1)c1cc(ncn1)c1cc(ncn1)c1ccc(OC)cc1  JAWFOD
O=C1N(c2[cH][cH][cH][cH][cH]2)C(=NC1=[CH]c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  O=C1N(c2ccccc2)C(=NC1=Cc1ccccc1)c1ccccc1  JAXKAV
[CH3][CH2][CH3]  CCC  JAYDUI
[CH3]C(=O)c1[cH][cH]c2[cH][cH][cH][cH]c2c1[OH]  CC(=O)c1ccc2ccccc2c1O  JEDZIC
[CH3]Oc1[cH][cH][cH]c([OH])c1C(=O)[CH3]  COc1cccc(O)c1C(C)=O  JEDZOI
[CH3][CH]([CH3])[CH]([CH](C#N)c1[cH][cH]c2O[CH2]Oc2[cH]1)N1[CH2][CH2]O[CH2][CH2]1  CC(C)C(C(C#N)c1ccc2OCOc2c1)N1CCOCC1  JEMPIB
[CH3][CH]([CH3])[CH]([NH2])[CH2][OH]  CC(C)C(N)CO  JESTAD
O=C1[CH2][CH]2O[CH]([CH2]O1)[CH]=[CH]2  O=C1CC2OC(CO1)C=C2  JINZAI
[CH3]OC(=O)[NH][NH]C(=O)O[CH3]  COC(=O)NNC(=O)OC  JIPFAQ
[CH3]OC(=O)[CH]1[CH]([CH3])C(=O)[CH]=C1c1[cH][cH][cH]o1  COC(=O)C1C(C)C(=O)C=C1C1=CC=CO1  JISJAX
[CH3]Oc1[cH][cH]c(O[CH3])c2[CH]3C(=[CH][CH2]C4=C3C(=O)[CH]=[CH]C4=O)[CH2][CH2]c12  COc1ccc(OC)c2C3C(=CCC4=C3C(=O)C=CC4=O)CCc12  JISXOZ
[CH3]N([CH3])C(=C(N([CH3])[CH3])N([CH3])[CH3])N([CH3])[CH3]  CN(C)C(N(C)C)=C(N(C)C)N(C)C  JOJWOU03
[CH3]C1(C(=O)[NH]c2[cH][cH][cH][cH]c12)C(=O)Oc1[cH][cH][cH][cH][cH]1  CC1(C(=O)Nc2ccccc12)C(=O)Oc1ccccc1  JOKKUQ
[CH3]OC(=O)C1(C(=O)N([CH2]c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c12)c1[cH][cH][cH][cH][cH]1  COC(=O)C1(C(=O)N(Cc2ccccc2)c2ccccc12)c1ccccc1  JOKLEB
[CH3]C12[CH2]C(=O)[CH2][CH]1OC(=O)[CH]=[CH]2  CC12CC(=O)CC1OC(=O)C=C2  JULFUR
[CH3]OC(=O)[CH]1[CH2][CH]([NH]C(=O)[NH]1)C(=O)O[CH3]  COC(=O)C1CC(NC(=O)N1)C(=O)OC  JULRIR01
[cH]1[cH]c2[cH][cH][cH]c3c4[cH]c5[cH][cH][cH]c6[cH][cH][cH]c(c4[cH]c([cH]1)c23)c56  c1cc2cccc3c4cc5cccc6cccc(c4cc(c1)c23)c56  KAGGEG
[CH3][CH2]OC(=O)[CH]([CH2]C(=O)[NH]c1[cH][cH][cH][cH][cH]1)C(=O)c1[cH][cH][cH][cH][cH]1  CCOC(=O)C(CC(=O)Nc1ccccc1)C(=O)c1ccccc1  KAWPAA
[CH3]Oc1[cH][cH]c([cH][cH]1)c1c(O[CH3])c(=O)c2c([OH])[cH]c(O[CH3])[cH]c2o1  COc1ccc(cc1)C1=C(OC)C(=O)c2c(O)cc(OC)cc2O1  KAYSAE01
[CH3]C(=O)O[CH]1[CH2]O[CH]([CH]=[CH]1)C(=[CH2])C(=[CH2])[CH]1O[CH2][CH](OC(=O)[CH3])[CH]=[CH]1  CC(=O)OC1COC(C=C1)C(=C)C(=C)C1OCC(OC(C)=O)C=C1  KEBFIH
[CH3][CH]([CH3])c1[cH][cH][cH]c([CH]([CH3])[CH3])c1N=C([CH3])[CH]1[CH2][CH2][CH2][CH2]N1[O]  CC(C)c1cccc(C(C)C)c1N=C(C)c1ccccn1[O]  KEDKAG01
[CH3][CH]1[CH]2[CH]([CH2][CH2][CH2]N3[CH]2[CH2][CH2]C3=O)OC1=O  CC1C2C(CCCN3C2CCC3=O)OC1=O  KEGYIF
O=C(c1[cH][cH][cH][nH]1)c1[cH][cH][cH][cH]n1  O=C(C1=CC=CN1)c1ccccn1  KELDUB
[CH3]OC1=NC(=C(c2[cH][cH][cH][nH]2)c2[cH][cH]c([cH][cH]2)C#N)[CH]=[CH]1  COC1=NC(C=C1)=C(C1=CC=CN1)c1ccc(cc1)C#N  KEYJUU
[CH3]Oc1[cH][cH][cH][cH]c1[CH]=C1[CH2][CH2]C(=[CH]1)c1[cH][cH][cH][cH][cH]1  COc1ccccc1C=C1CCC(=C1)c1ccccc1  KIDTIB
[CH3][CH2]C(=[CH]C(=O)c1[cH][cH][cH][cH][cH]1)[NH]c1[cH][cH][cH][cH]c1[OH]  CCC(Nc1ccccc1O)=CC(=O)c1ccccc1  KIJPEZ
[CH3]Oc1[cH][cH]c(c([OH])[cH]1)C(=Nc1[cH][cH][cH][cH]c1[NH]C(=O)[CH3])c1[cH][cH][cH][cH][cH]1  COc1ccc(c(O)c1)C(=Nc1ccccc1NC(C)=O)c1ccccc1  KOFVAD
[CH3]c1[cH]c2oc(c(c3[cH][cH][cH][cH][cH]3)c2[cH]c1[CH3])c1[cH][cH][cH][cH][cH]1  Cc1cc2OC(=C(c3ccccc3)c2cc1C)c1ccccc1  KOKRUY
O=N(=O)c1[cH][nH][cH]n1  O=N(=O)C1=CNC=N1  KOMHAV01
[CH3][CH]([CH3])C12O[CH]1[CH]1OC31C1([CH3])[CH2][CH2]C4=C([CH2]OC4=O)[CH]1[CH2][CH]1OC31C2=O  CC(C)C12OC1C1OC31C1(C)CCC4=C(COC4=O)C1CC1OC31C2=O  KORVES02
[OH][CH2][CH]1[CH2][CH2][CH2]C21[CH2][CH2][CH2][CH]([CH2][CH]([OH])c1[cH][cH][cH][cH][cH]1)N2[OH]  OCC1CCCC21CCCC(CC(O)c1ccccc1)N2O  KUKFUS
[CH3]N1C(=O)c2[cH][cH][cH][cH]c2C([OH])([CH2]c2c([CH3])nc([CH3])o2)C1=O  CN1C(=O)c2ccccc2C(O)(CC2=C(C)N=C(C)O2)C1=O  KUSHUC
[CH3]c1noc(c1[CH3])N=[CH]c1[cH][cH][cH][cH]c1[OH]  CC1=NOC(=C1C)N=Cc1ccccc1O  KUSTAU
[CH3][NH]c1[cH][cH]n[cH][cH]1  CNc1ccncc1  KUTBOR
[CH3][CH2]C(=O)N1N=C(N=N[CH]1[CH3])c1[cH][cH]c(O[CH3])[cH][cH]1  CCC(=O)N1N=C(N=NC1C)c1ccc(OC)cc1  KUVDOV
[OH]C(=O)[CH2][CH]1[CH2][CH2]C(=O)[CH2][CH2]1  OC(=O)CC1CCC(=O)CC1  KUZQIG
[CH3][CH]([CH3])N=C1N([CH]([CH3])[CH3])C(=N[CH]([CH3])[CH3])N1[CH]([CH3])[CH3]  CC(C)N=C1N(C(C)C)C(=NC(C)C)N1C(C)C  LADKUY
[NH2]C1=N[CH]2O[CH]([CH2][OH])[CH]([OH])[CH]2O1  NC1=NC2OC(CO)C(O)C2O1  LAKDOR
[CH3]Oc1[cH][cH]c(C(=O)[CH3])c([OH])[cH]1  COc1ccc(C(C)=O)c(O)c1  LAMNAP01
[CH3]OC(=O)C([CH3])([OH])[NH]C(=O)[CH3]  COC(=O)C(C)(O)NC(C)=O  LAQSOM
[CH3][CH2]OC(=O)[CH2][CH]1[CH2][CH2][CH2]C1([NH][CH]([CH3])c1[cH][cH][cH][cH][cH]1)C(=O)[NH2]  CCOC(=O)CC1CCCC1(NC(C)c1ccccc1)C(N)=O  LEBNUC
[CH3]C(=O)ON=C(c1[cH][nH][cH]n1)N(=O)=O  CC(=O)ON=C(C1=CNC=N1)N(=O)=O  LEFFEI
[CH3]C(=O)O[CH]1[CH]=[CH][CH2][CH]([NH]C(=O)OC([CH3])([CH3])[CH3])[CH]1OC(=O)[CH3]  CC(=O)OC1C=CCC(NC(=O)OC(C)(C)C)C1OC(C)=O  LEMFUF
[CH3]OC1(O[CH3])N(C(=O)C1(O[CH3])O[CH3])c1c([CH3])n([CH3])c2[cH][cH][cH][cH]c12  COC1(OC)N(C(=O)C1(OC)OC)C1=C(C)N(C)c2ccccc12  LEMKEU
[CH3]Oc1[cH][cH]c(N2C(=O)C(O[CH3])(O[CH3])C2(O[CH3])O[CH3])c(O[CH3])[cH]1  COc1ccc(N2C(=O)C(OC)(OC)C2(OC)OC)c(OC)c1  LEMKIY
[CH3][CH2]OC(=O)c1c2n([cH][cH]c3[cH][cH][cH][cH]c23)c2c1C(=O)c1[cH][cH][cH][cH]c1C2=O  CCOC(=O)C1=C2N(C=Cc3ccccc23)C2=C1C(=O)c1ccccc1C2=O  LIBZUS
[CH3][CH2]c1[cH][cH]c([cH][cH]1)C(=C=C=C=C=C(c1[cH][cH]c([CH2][CH3])[cH][cH]1)c1[cH][cH]c([CH2][CH3])[cH][cH]1)c1[cH][cH]c([CH2][CH3])[cH][cH]1  CCc1ccc(cc1)C(=C=C=C=C=C(c1ccc(CC)cc1)c1ccc(CC)cc1)c1ccc(CC)cc1  LIJGIV
[CH3]C(=O)N1[CH2]C(=O)[CH2]N1C(=O)[CH3]  CC(=O)N1CC(=O)CN1C(C)=O  LILLAU
[CH2]1[CH2]N2[CH2][CH2]N3[CH2][CH2]N1[CH]23  C1CN2CCN3CCN1C23  LINMOK
O=C([CH2]n1[cH][cH]nc1N(=O)=O)[NH][CH2]c1[cH][cH][cH][cH][cH]1  O=C(CN1C=CN=C1N(=O)=O)NCc1ccccc1  LIVWET
[CH3]C(=O)c1[cH]c([cH][cH]c1[OH])C#N  CC(=O)c1cc(ccc1O)C#N  LIWFUT
O=N(=O)c1[cH]c2[CH2]c3[cH][cH]c4[cH][cH][cH][cH]c4c3c2c2[cH][cH][cH][cH]c12  O=N(=O)c1cc2Cc3ccc4ccccc4c3c2c2ccccc12  LIZBUS
[CH3]C(=O)c1[cH][cH][cH][cH]c1[NH][CH2][CH2]C(=O)[OH]  CC(=O)c1ccccc1NCCC(O)=O  LOHTAE
[NH3+][CH]([CH2][OH])C(=O)[O-]  [NH3+]C(CO)C(=O)[O-]  LSERIN20
[NH3+][CH]([CH]([CH3])[OH])C(=O)[O-]  [NH3+]C(C(C)O)C(=O)[O-]  LTHREO03
[CH3][CH]([CH3])OC12[CH]=NOc3[cH][cH][cH]c([CH]=[CH]C1=O)c23  CC(C)OC12C=NOc3cccc(C=CC1=O)c23  LUDJOK
[CH3]OC(=O)C([CH3])([CH2][CH]=[CH2])[CH](OC(=O)c1[cH][cH]c([cH][cH]1)N(=O)=O)[CH]([CH3])[CH3]  COC(=O)C(C)(CC=C)C(OC(=O)c1ccc(cc1)N(=O)=O)C(C)C  LUDMAZ
[cH]1[cH][cH]c2c([cH]1)c1[cH]c3c4[cH][cH][cH][cH]c4c4[cH]c2c2[cH]c4c4[cH][cH][cH][cH]c4c3[cH]c1c1[cH][cH][cH][cH]c21  c1ccc2c(c1)c1cc3c4ccccc4c4cc2c2cc4c4ccccc4c3cc1c1ccccc21  LUGJEC
[CH3][CH](c1[cH][cH][cH][cH][cH]1)C1([OH])N([CH3])C(=O)c2[cH][cH][cH][cH]c12  CC(c1ccccc1)C1(O)N(C)C(=O)c2ccccc12  LUMKEK
[CH3]Oc1[cH]c2c([CH3])c3[cH]c(O[CH3])c(O[CH3])[cH]c3c([CH3])c2[cH]c1O[CH3]  COc1cc2c(C)c3cc(OC)c(OC)cc3c(C)c2cc1OC  LUMLAH
[OH]C12[CH]([CH2][NH]C(=O)c3[cH][cH][cH][cH]c13)C13[CH2][CH]4[CH2][CH]([CH2][CH]([CH2]4)[CH]21)[CH2]3  OC12C(CNC(=O)c3ccccc13)C13CC4CC(CC(C4)C21)C3  LUQSIA
[CH3]Oc1[cH][cH]c2c([CH2][CH2][CH]3[CH]4[CH2][CH2][CH](OC(=O)C56[CH2][CH2]C([CH3])(C(=O)O5)C6([CH3])[CH3])C4([CH2][CH]=C23)C(=O)OC([CH3])([CH3])[CH3])[cH]1  COc1ccc2c(CCC3C4CCC(OC(=O)C56CCC(C)(C(=O)O5)C6(C)C)C4(CC=C23)C(=O)OC(C)(C)C)c1  LUSGIQ
[CH3][CH]([CH3])[CH]1[CH2][CH]=C2[CH]([OH])[CH]3[CH2]C(=O)[CH]=[CH]C3([CH3])[CH2][CH2]C12[CH3]  CC(C)C1CC=C2C(O)C3CC(=O)C=CC3(C)CCC12C  LUSJIS
[CH3]N1C(=O)C([CH3])(N=C(c2[cH][cH][cH][cH][cH]2)c2[cH]c([CH3])[cH]c([CH3])c12)C#N  CN1C(=O)C(C)(N=C(c2ccccc2)c2cc(C)cc(C)c12)C#N  LUTGAJ
[CH3]C1([CH3])[CH]2[CH2][CH2]C([OH])([CH2]2)C1=O  CC1(C)C2CCC(O)(C2)C1=O  LUVCOU
o1[cH][cH][cH]c1c1[cH][cH]c(o1)c1[cH][cH]c(o1)c1[cH][cH]c(o1)c1[cH][cH]c(o1)c1[cH][cH][cH]o1  O1C=CC=C1C1=CC=C(O1)C1=CC=C(O1)C1=CC=C(O1)C1=CC=C(O1)C1=CC=CO1  LUVYIL
o1[cH][cH][cH]c1c1[cH][cH]c(o1)c1[cH][cH]c(o1)c1[cH][cH][cH]o1  O1C=CC=C1C1=CC=C(O1)C1=CC=C(O1)C1=CC=CO1  LUVYOR
O=c1n2c3[cH][cH][cH][cH]c3nc2c2[cH][cH]c3c4[cH][cH]c5c(=O)n6c7[cH][cH][cH][cH]c7nc6c6[cH][cH]c(c7[cH][cH]c1c2c37)c4c56  O=C1N2c3ccccc3N=C2c2ccc3c4ccc5C(=O)N6c7ccccc7N=C6c6ccc(c7ccc1c2c37)c4c56  MAMHEO
[NH2]c1[cH][cH][cH]c([OH])[cH]1  Nc1cccc(O)c1  MAMPOL02
[CH3]C(=O)O[CH2][CH]1O[CH]2[CH](OC(=O)[CH3])[CH]([CH2]N([CH]2[CH](OC(=O)[CH3])[CH]1OC(=O)[CH3])C(=O)OC([CH3])([CH3])[CH3])OC(=O)[CH3]  CC(=O)OCC1OC2C(OC(C)=O)C(CN(C2C(OC(C)=O)C1OC(C)=O)C(=O)OC(C)(C)C)OC(C)=O  MANJIV
[CH3]c1c([NH2])[cH][cH][cH]c1[OH]  Cc1c(N)cccc1O  MATBAL
[NH2]c1[cH][cH][cH]c2[cH][cH]c([OH])[cH]c12  Nc1cccc2ccc(O)cc12  MATCEQ
[CH2]1[CH2][CH]2O[CH]1[CH]1[CH]3O[CH]([CH]=[CH]3)[CH]21  C1CC2OC1C1C3OC(C=C3)C21  MAYXEP
[CH2]1[CH2][CH]2O[CH]1[CH]1[CH]3O[CH]([CH]=[CH]3)[CH]21  C1CC2OC1C1C3OC(C=C3)C21  MAYXIT
[NH2]C(=O)c1[cH][cH][n+]([O-])[cH][cH]1  NC(=O)c1cc[n+]([O-])cc1  MEGDAE
[CH3]Oc1[cH][cH][cH][cH]c1C#CC(=O)[OH]  COc1ccccc1C#CC(O)=O  MEKMIZ
[CH3][NH][CH]=C(C(=O)[CH3])C(=O)[CH3]  CNC=C(C(C)=O)C(C)=O  MEMXEI
[CH3]OC(=O)c1[cH][cH]c([NH][CH]2[CH2][CH2][CH2]O[CH]3O[CH2][CH2][CH]23)[cH][cH]1  COC(=O)c1ccc(NC2CCCOC3OCCC23)cc1  MERHAS
[CH3]OC(=O)c1[cH][cH]c2[NH][CH]([CH2][CH2][CH2][OH])[CH]3[CH2][CH2]O[CH]3c2[cH]1  COC(=O)c1ccc2NC(CCCO)C3CCOC3c2c1  MERHEW
[CH3]OC(=O)C(=[CH][NH2])C#N  COC(=O)C(=CN)C#N  MIGWUV
[NH2]c1[cH][cH][cH]c([cH]1)N(=O)=O  Nc1cccc(c1)N(=O)=O  MNIANL02
[CH3]OC(=O)c1[cH][cH]c([CH2]n2[cH]c([CH]=C3[NH]C(=O)[NH]C3=O)c3[cH][cH][cH][cH]c23)[cH][cH]1  COC(=O)c1ccc(CN2C=C(C=C3NC(=O)NC3=O)c3ccccc23)cc1  MOKNEG
[CH3][CH]1[CH]=[CH][CH2]C2([CH3])[CH]1C(=O)c1[cH][cH][cH][cH]c1C2=O  CC1C=CCC2(C)C1C(=O)c1ccccc1C2=O  MORZUP
[CH3]C1=[CH]C(=O)C2([CH3])[CH]3[CH2][CH]([CH]=[CH]3)[CH]2C1=O  CC1=CC(=O)C2(C)C3CC(C=C3)C2C1=O  MOSBAY
[CH3]c1[cH][cH]c([cH][cH]1)C1=N[CH2][CH2][NH]1  Cc1ccc(cc1)C1=NCCN1  MOSJOU
[CH3]Oc1[cH][cH]c([cH][cH]1)[CH]1O[CH](c2[cH]c(O[CH3])c(O[CH3])c(O[CH3])[cH]2)C(O1)(C#N)C#N  COc1ccc(cc1)C1OC(c2cc(OC)c(OC)c(OC)c2)C(O1)(C#N)C#N  MOVHEL
[CH3]C1([CH3])[CH]2[CH2]OC(O2)(c2[cH][cH][cH][cH][cH]2)c2[cH][cH][cH][cH]c12  CC1(C)C2COC(O2)(c2ccccc2)c2ccccc12  MOVJUD
[CH3]C1([OH])[CH2][CH]2OC(=O)[CH]3[CH]2[CH]1C3=[CH2]  CC1(O)CC2OC(=O)C3C2C1C3=C  MOVNAN
[CH3]c1[cH]c(nc2[cH][cH][cH][cH]c12)C(=O)[NH2]  Cc1cc(nc2ccccc12)C(N)=O  MQUCXA11
[CH3]C(=[CH]c1[cH][cH][cH]o1)N(=O)=O  CC(=CC1=CC=CO1)N(=O)=O  MUBLUR
[CH3]Oc1[cH]c([cH]c(c1[OH])N(=O)=O)C(=O)[CH3]  COc1cc(cc(c1O)N(=O)=O)C(C)=O  MUCDOE
[NH2]C1=[N+]([O-])[CH2][CH]([OH])[CH2][CH2]1  NC1=[N+]([O-])CC(O)CC1  MUDZER
[CH3]Oc1[cH]c([CH2][OH])c([OH])c([CH2][OH])[cH]1  COc1cc(CO)c(O)c(CO)c1  MUGNEH
[CH3][CH]1[CH]=[CH][CH]([CH2]OC(=O)c2[cH][cH]c([cH][cH]2)N(=O)=O)ON1C(=O)OC([CH3])([CH3])[CH3]  CC1C=CC(COC(=O)c2ccc(cc2)N(=O)=O)ON1C(=O)OC(C)(C)C  MUJCEA
[CH3][CH2][CH2]N1[CH]([CH2][CH3])O[CH]2[CH2][CH]3[CH2][CH2]C2(C1=O)C3([CH3])[CH3]  CCCN1C(CC)OC2CC3CCC2(C1=O)C3(C)C  MUJGEE
[CH3]Oc1[cH]c([CH2][CH]2[CH2]O[CH]([CH]2[CH2][OH])c2[cH][cH]c([OH])c(O[CH3])[cH]2)[cH][cH]c1[OH]  COc1cc(CC2COC(C2CO)c2ccc(O)c(OC)c2)ccc1O  MUKBOK
[CH3][NH]C(=O)[CH]1[CH2][CH2][CH]2[CH2][CH2][CH2][CH2][CH]2N1[O]  CNC(=O)c1ccc2ccccc2n1[O]  MULMUC
[CH3][CH2]OC(=O)N1[CH]([CH](C(=O)c2[cH][cH][cH][cH]c12)c1[cH][cH][cH][cH][cH]1)c1[cH][cH][cH][cH][cH]1  CCOC(=O)N1C(C(C(=O)c2ccccc12)c1ccccc1)c1ccccc1  MUMVOG
[OH][CH2][CH]1O[CH]([CH2][CH]1[OH])c1[cH][cH][cH][cH]c1[OH]  OCC1OC(CC1O)c1ccccc1O  MUYDAL
[OH][CH2][CH]1O[CH]([CH2][CH]1[OH])c1[cH][cH][cH][cH][cH]1  OCC1OC(CC1O)c1ccccc1  MUYDEP
[OH][CH2]C1([OH])[CH2]OC([OH])([CH2][OH])[CH2]O1  OCC1(O)COC(O)(CO)CO1  NADQAL
[OH][CH2]C(=O)[CH2][OH]  OCC(=O)CO  NADQOZ
[CH3][CH]1[CH2]C(=O)[CH]2[CH2]OC([CH3])([CH3])[CH]3[CH2][CH2]C1([CH3])[CH2][CH]23  CC1CC(=O)C2COC(C)(C)C3CCC1(C)CC23  NALNAQ
